dataset,task_id,method,seed,answer,cost_usd,latency_s,prompt_tokens,completion_tokens,agent_used,reason,error
mmlu,mmlu-8414,TrustRoute-StrongestQueried,2,A,0.00043725,7.755967855453491,0,0,cand-gpt-5-mini,stage2_strongest_queried,
mmlu,mmlu-10986,TrustRoute-StrongestQueried,2,C,0.00135785,12.195029735565186,0,0,cand-gpt-5-mini,stage2_strongest_queried,
mmlu,mmlu-5418,TrustRoute-StrongestQueried,2,C,0.00044925,8.169546365737915,0,0,cand-gpt-5-mini,stage2_strongest_queried,
mmlu,mmlu-5778,TrustRoute-StrongestQueried,2,C,0.0006500500000000001,7.52095365524292,0,0,cand-gpt-5-mini,stage2_strongest_queried,
mmlu,mmlu-7658,TrustRoute-StrongestQueried,2,C,0.00049715,6.320261001586914,0,0,cand-gpt-5-mini,stage2_strongest_queried,
mmlu,mmlu-5945,TrustRoute-StrongestQueried,2,A,0.00180305,12.962224245071411,0,0,cand-gpt-5-mini,stage2_strongest_queried,
mmlu,mmlu-8963,TrustRoute-StrongestQueried,2,C,0.00061775,8.199235439300537,0,0,cand-gpt-5-mini,stage2_strongest_queried,
mmlu,mmlu-9206,TrustRoute-StrongestQueried,2,A,0.0005958500000000001,6.880491733551025,0,0,cand-gpt-5-mini,stage2_strongest_queried,
mmlu,mmlu-3277,TrustRoute-StrongestQueried,2,C,0.00042845000000000003,11.57467770576477,0,0,cand-gpt-5-mini,stage2_strongest_queried,
mmlu,mmlu-8696,TrustRoute-StrongestQueried,2,B,0.0014264500000000001,12.199902772903442,0,0,cand-gpt-5-mini,stage2_strongest_queried,
mmlu,mmlu-7089,TrustRoute-StrongestQueried,2,B,0.00030825,7.141922473907471,0,0,cand-gpt-5-mini,stage2_strongest_queried,
mmlu,mmlu-2418,TrustRoute-StrongestQueried,2,C,0.00028125,6.359699964523315,0,0,cand-gpt-5-mini,stage2_strongest_queried,
mmlu,mmlu-12740,TrustRoute-StrongestQueried,2,C,0.00030944999999999996,7.441229343414307,0,0,cand-gpt-5-mini,stage2_strongest_queried,
mmlu,mmlu-11090,TrustRoute-StrongestQueried,2,B,6.81e-05,1.0811803340911865,0,0,cand-gpt-4o-mini,stage1_early_stop,
mmlu,mmlu-9960,TrustRoute-StrongestQueried,2,B,1.9049999999999995e-05,1.7251722812652588,0,0,cand-gpt-4o-mini,stage1_early_stop,
mmlu,mmlu-6864,TrustRoute-StrongestQueried,2,D,2.115e-05,1.479609489440918,0,0,cand-gpt-4o-mini,stage1_early_stop,
mmlu,mmlu-4969,TrustRoute-StrongestQueried,2,D,1.8149999999999997e-05,1.7285239696502686,0,0,cand-gpt-4o-mini,stage1_early_stop,
mmlu,mmlu-12010,TrustRoute-StrongestQueried,2,B,4.785e-05,1.4767296314239502,0,0,cand-gpt-4o-mini,stage1_early_stop,
mmlu,mmlu-2995,TrustRoute-StrongestQueried,2,C,2.145e-05,1.2238008975982666,0,0,cand-gpt-4o-mini,stage1_early_stop,
mmlu,mmlu-2534,TrustRoute-StrongestQueried,2,A,2.2649999999999995e-05,1.4402883052825928,0,0,cand-gpt-4o-mini,stage1_early_stop,
mmlu,mmlu-8970,TrustRoute-StrongestQueried,2,C,2.7149999999999996e-05,2.052424907684326,0,0,cand-gpt-4o-mini,stage1_early_stop,
mmlu,mmlu-5665,TrustRoute-StrongestQueried,2,B,6.465e-05,1.882389783859253,0,0,cand-gpt-4o-mini,stage1_early_stop,
mmlu,mmlu-8265,TrustRoute-StrongestQueried,2,B,2.07e-05,1.641453504562378,0,0,cand-gpt-4o-mini,stage1_early_stop,
mmlu,mmlu-4545,TrustRoute-StrongestQueried,2,B,2.4299999999999998e-05,1.5751924514770508,0,0,cand-gpt-4o-mini,stage1_early_stop,
mmlu,mmlu-3567,TrustRoute-StrongestQueried,2,D,1.6799999999999995e-05,1.8065307140350342,0,0,cand-gpt-4o-mini,stage1_early_stop,
mmlu,mmlu-7694,TrustRoute-StrongestQueried,2,B,2.0399999999999998e-05,1.2948956489562988,0,0,cand-gpt-4o-mini,stage1_early_stop,
mmlu,mmlu-12948,TrustRoute-StrongestQueried,2,D,2.13e-05,1.448326826095581,0,0,cand-gpt-4o-mini,stage1_early_stop,
mmlu,mmlu-2231,TrustRoute-StrongestQueried,2,B,1.9199999999999996e-05,1.5830631256103516,0,0,cand-gpt-4o-mini,stage1_early_stop,
mmlu,mmlu-8894,TrustRoute-StrongestQueried,2,C,2.8199999999999994e-05,1.315593957901001,0,0,cand-gpt-4o-mini,stage1_early_stop,
mmlu,mmlu-9002,TrustRoute-StrongestQueried,2,B,2.8049999999999994e-05,1.380525827407837,0,0,cand-gpt-4o-mini,stage1_early_stop,
mmlu,mmlu-11771,TrustRoute-StrongestQueried,2,C,2.5049999999999996e-05,1.464416742324829,0,0,cand-gpt-4o-mini,stage1_early_stop,
mmlu,mmlu-10992,TrustRoute-StrongestQueried,2,A,4.905e-05,1.2754600048065186,0,0,cand-gpt-4o-mini,stage1_early_stop,
mmlu,mmlu-7907,TrustRoute-StrongestQueried,2,C,1.7399999999999996e-05,3.5780272483825684,0,0,cand-gpt-4o-mini,stage1_early_stop,
mmlu,mmlu-13971,TrustRoute-StrongestQueried,2,B,1.8149999999999997e-05,3.5362296104431152,0,0,cand-gpt-4o-mini,stage1_early_stop,
mmlu,mmlu-1658,TrustRoute-StrongestQueried,2,C,1.7249999999999996e-05,1.1033203601837158,0,0,cand-gpt-4o-mini,stage1_early_stop,
mmlu,mmlu-8934,TrustRoute-StrongestQueried,2,B,2.7299999999999996e-05,1.6344523429870605,0,0,cand-gpt-4o-mini,stage1_early_stop,
mmlu,mmlu-5393,TrustRoute-StrongestQueried,2,D,2.4899999999999995e-05,1.537778615951538,0,0,cand-gpt-4o-mini,stage1_early_stop,
mmlu,mmlu-7436,TrustRoute-StrongestQueried,2,C,1.6499999999999998e-05,2.0180671215057373,0,0,cand-gpt-4o-mini,stage1_early_stop,
mmlu,mmlu-2265,TrustRoute-StrongestQueried,2,C,1.9199999999999996e-05,1.2150232791900635,0,0,cand-gpt-4o-mini,stage1_early_stop,
mmlu,mmlu-12583,TrustRoute-StrongestQueried,2,B,1.9649999999999997e-05,1.275439977645874,0,0,cand-gpt-4o-mini,stage1_early_stop,
mmlu,mmlu-709,TrustRoute-StrongestQueried,2,A,2.3699999999999997e-05,1.521496295928955,0,0,cand-gpt-4o-mini,stage1_early_stop,
mmlu,mmlu-8297,TrustRoute-StrongestQueried,2,B,2.1899999999999997e-05,1.3081059455871582,0,0,cand-gpt-4o-mini,stage1_early_stop,
mmlu,mmlu-1947,TrustRoute-StrongestQueried,2,A,1.8449999999999998e-05,1.9104619026184082,0,0,cand-gpt-4o-mini,stage1_early_stop,
mmlu,mmlu-3606,TrustRoute-StrongestQueried,2,D,1.9199999999999996e-05,2.460369825363159,0,0,cand-gpt-4o-mini,stage1_early_stop,
mmlu,mmlu-11879,TrustRoute-StrongestQueried,2,C,5.94e-05,1.1904051303863525,0,0,cand-gpt-4o-mini,stage1_early_stop,
mmlu,mmlu-2070,TrustRoute-StrongestQueried,2,B,2.13e-05,1.4448742866516113,0,0,cand-gpt-4o-mini,stage1_early_stop,
mmlu,mmlu-9581,TrustRoute-StrongestQueried,2,D,2.0249999999999998e-05,1.0773088932037354,0,0,cand-gpt-4o-mini,stage1_early_stop,
mmlu,mmlu-2215,TrustRoute-StrongestQueried,2,C,2.4449999999999998e-05,1.7239680290222168,0,0,cand-gpt-4o-mini,stage1_early_stop,
mmlu,mmlu-165,TrustRoute-StrongestQueried,2,B,2.4299999999999998e-05,1.6766011714935303,0,0,cand-gpt-4o-mini,stage1_early_stop,
mmlu,mmlu-3631,TrustRoute-StrongestQueried,2,A,1.6199999999999997e-05,2.1308915615081787,0,0,cand-gpt-4o-mini,stage1_early_stop,
mmlu,mmlu-1708,TrustRoute-StrongestQueried,2,B,1.8899999999999995e-05,1.9505276679992676,0,0,cand-gpt-4o-mini,stage1_early_stop,
mmlu,mmlu-2279,TrustRoute-StrongestQueried,2,B,2.3249999999999996e-05,1.2695703506469727,0,0,cand-gpt-4o-mini,stage1_early_stop,
mmlu,mmlu-7664,TrustRoute-StrongestQueried,2,C,1.9949999999999997e-05,1.1887187957763672,0,0,cand-gpt-4o-mini,stage1_early_stop,
mmlu,mmlu-3725,TrustRoute-StrongestQueried,2,B,2.7149999999999996e-05,1.0461783409118652,0,0,cand-gpt-4o-mini,stage1_early_stop,
mmlu,mmlu-7411,TrustRoute-StrongestQueried,2,C,1.6799999999999995e-05,1.350656270980835,0,0,cand-gpt-4o-mini,stage1_early_stop,
mmlu,mmlu-615,TrustRoute-StrongestQueried,2,A,1.7849999999999997e-05,2.052457332611084,0,0,cand-gpt-4o-mini,stage1_early_stop,
mmlu,mmlu-8746,TrustRoute-StrongestQueried,2,D,2.8199999999999994e-05,1.3592772483825684,0,0,cand-gpt-4o-mini,stage1_early_stop,
mmlu,mmlu-13805,TrustRoute-StrongestQueried,2,B,1.9499999999999996e-05,1.7862176895141602,0,0,cand-gpt-4o-mini,stage1_early_stop,
mmlu,mmlu-7663,TrustRoute-StrongestQueried,2,A,1.59e-05,1.0315446853637695,0,0,cand-gpt-4o-mini,stage1_early_stop,
mmlu,mmlu-3591,TrustRoute-StrongestQueried,2,B,1.8449999999999998e-05,1.4983782768249512,0,0,cand-gpt-4o-mini,stage1_early_stop,
mmlu,mmlu-10047,TrustRoute-StrongestQueried,2,D,1.7699999999999997e-05,2.016598701477051,0,0,cand-gpt-4o-mini,stage1_early_stop,
mmlu,mmlu-9526,TrustRoute-StrongestQueried,2,D,1.8299999999999998e-05,1.1941704750061035,0,0,cand-gpt-4o-mini,stage1_early_stop,
mmlu,mmlu-13842,TrustRoute-StrongestQueried,2,A,1.875e-05,1.1361196041107178,0,0,cand-gpt-4o-mini,stage1_early_stop,
mmlu,mmlu-7108,TrustRoute-StrongestQueried,2,A,1.8299999999999998e-05,1.1691207885742188,0,0,cand-gpt-4o-mini,stage1_early_stop,
mmlu,mmlu-3162,TrustRoute-StrongestQueried,2,B,2.4149999999999997e-05,1.6140592098236084,0,0,cand-gpt-4o-mini,stage1_early_stop,
mmlu,mmlu-912,TrustRoute-StrongestQueried,2,D,2.085e-05,1.405839443206787,0,0,cand-gpt-4o-mini,stage1_early_stop,
mmlu,mmlu-3408,TrustRoute-StrongestQueried,2,B,8.415e-05,1.20265531539917,0,0,cand-gpt-4o-mini,stage1_early_stop,
mmlu,mmlu-7403,TrustRoute-StrongestQueried,2,A,1.7399999999999996e-05,1.6987812519073486,0,0,cand-gpt-4o-mini,stage1_early_stop,
mmlu,mmlu-6975,TrustRoute-StrongestQueried,2,B,1.7999999999999997e-05,1.149916648864746,0,0,cand-gpt-4o-mini,stage1_early_stop,
mmlu,mmlu-11780,TrustRoute-StrongestQueried,2,B,7.17e-05,2.250948190689087,0,0,cand-gpt-4o-mini,stage1_early_stop,
mmlu,mmlu-7516,TrustRoute-StrongestQueried,2,D,1.7249999999999996e-05,1.8073866367340088,0,0,cand-gpt-4o-mini,stage1_early_stop,
mmlu,mmlu-12143,TrustRoute-StrongestQueried,2,A,5.8349999999999995e-05,1.799924612045288,0,0,cand-gpt-4o-mini,stage1_early_stop,
mmlu,mmlu-3961,TrustRoute-StrongestQueried,2,D,3.075e-05,1.394836187362671,0,0,cand-gpt-4o-mini,stage1_early_stop,
mmlu,mmlu-8886,TrustRoute-StrongestQueried,2,B,2.6249999999999998e-05,1.6441333293914795,0,0,cand-gpt-4o-mini,stage1_early_stop,
mmlu,mmlu-9097,TrustRoute-StrongestQueried,2,B,2.7599999999999993e-05,1.3224139213562012,0,0,cand-gpt-4o-mini,stage1_early_stop,
mmlu,mmlu-10856,TrustRoute-StrongestQueried,2,B,3.6e-05,1.8222858905792236,0,0,cand-gpt-4o-mini,stage1_early_stop,
mmlu,mmlu-513,TrustRoute-StrongestQueried,2,D,1.8449999999999998e-05,2.059441089630127,0,0,cand-gpt-4o-mini,stage1_early_stop,
mmlu,mmlu-3301,TrustRoute-StrongestQueried,2,D,4.305e-05,1.3754892349243164,0,0,cand-gpt-4o-mini,stage1_early_stop,
mmlu,mmlu-5732,TrustRoute-StrongestQueried,2,C,4.8599999999999995e-05,1.69789457321167,0,0,cand-gpt-4o-mini,stage1_early_stop,
mmlu,mmlu-5989,TrustRoute-StrongestQueried,2,A,6.494999999999999e-05,1.1040778160095215,0,0,cand-gpt-4o-mini,stage1_early_stop,
mmlu,mmlu-4100,TrustRoute-StrongestQueried,2,D,1.9499999999999996e-05,1.2923803329467773,0,0,cand-gpt-4o-mini,stage1_early_stop,
mmlu,mmlu-8679,TrustRoute-StrongestQueried,2,B,2.8049999999999994e-05,1.1039061546325684,0,0,cand-gpt-4o-mini,stage1_early_stop,
mmlu,mmlu-12095,TrustRoute-StrongestQueried,2,A,5.13e-05,1.919389247894287,0,0,cand-gpt-4o-mini,stage1_early_stop,
mmlu,mmlu-12958,TrustRoute-StrongestQueried,2,B,2.67e-05,1.7870736122131348,0,0,cand-gpt-4o-mini,stage1_early_stop,
mmlu,mmlu-8820,TrustRoute-StrongestQueried,2,A,2.6999999999999996e-05,1.6982600688934326,0,0,cand-gpt-4o-mini,stage1_early_stop,
mmlu,mmlu-1826,TrustRoute-StrongestQueried,2,B,2.175e-05,1.485917568206787,0,0,cand-gpt-4o-mini,stage1_early_stop,
mmlu,mmlu-12400,TrustRoute-StrongestQueried,2,A,5.4449999999999995e-05,1.1890575885772705,0,0,cand-gpt-4o-mini,stage1_early_stop,
mmlu,mmlu-7224,TrustRoute-StrongestQueried,2,A,2.5649999999999997e-05,1.3871257305145264,0,0,cand-gpt-4o-mini,stage1_early_stop,
mmlu,mmlu-11228,TrustRoute-StrongestQueried,2,A,4.4399999999999995e-05,1.647021770477295,0,0,cand-gpt-4o-mini,stage1_early_stop,
mmlu,mmlu-2386,TrustRoute-StrongestQueried,2,B,3.6599999999999995e-05,1.1347482204437256,0,0,cand-gpt-4o-mini,stage1_early_stop,
mmlu,mmlu-4172,TrustRoute-StrongestQueried,2,B,2.2349999999999994e-05,1.5977022647857666,0,0,cand-gpt-4o-mini,stage1_early_stop,
mmlu,mmlu-4801,TrustRoute-StrongestQueried,2,D,2.4149999999999997e-05,1.0368473529815674,0,0,cand-gpt-4o-mini,stage1_early_stop,
mmlu,mmlu-8556,TrustRoute-StrongestQueried,2,B,2.7899999999999994e-05,1.373499870300293,0,0,cand-gpt-4o-mini,stage1_early_stop,
mmlu,mmlu-6728,TrustRoute-StrongestQueried,2,B,1.7849999999999997e-05,1.7583367824554443,0,0,cand-gpt-4o-mini,stage1_early_stop,
mmlu,mmlu-582,TrustRoute-StrongestQueried,2,C,2.145e-05,1.9390554428100586,0,0,cand-gpt-4o-mini,stage1_early_stop,
