dataset,task_id,method,seed,answer,cost_usd,latency_s,prompt_tokens,completion_tokens,agent_used,reason,error
mbpp,Mbpp/620,TrustRoute-StrongestQueried,2,"def largest_subset(nums):
    if not nums: return 0
    nums = sorted(nums)
    n = len(nums)
    dp = [1]*n
    res = 1
    for i in range(n):
        for j in range(i):
            if nums[i] % nums[j] == 0 and dp[j] + 1 > dp[i]:
                dp[i] = dp[j] + 1
        if dp[i] > res: res = dp[i]
    return res

assert largest_subset([1, 3, 6, 13, 17, 18]) == 4",0.00232915,35.09704566001892,0,0,cand-gpt-5-mini,stage2_strongest_queried,
mbpp,Mbpp/637,TrustRoute-StrongestQueried,2,"def noprofit_noloss(selling_price, cost_price):
    """"""Return True if no profit and no loss (selling price equals cost price).""""""
    return selling_price == cost_price

# example test
assert noprofit_noloss(1500, 1200) == False",0.0012319499999999999,16.41217827796936,0,0,cand-gpt-5-mini,stage2_strongest_queried,
mbpp,Mbpp/133,TrustRoute-StrongestQueried,2,"def sum_negativenum(nums):
    return sum(x for x in nums if x < 0)

assert sum_negativenum([2, 4, -6, -9, 11, -12, 14, -5, 17]) == -32",0.00092935,12.803526401519775,0,0,cand-gpt-5-mini,stage2_strongest_queried,
mbpp,Mbpp/56,TrustRoute-StrongestQueried,2,"def check(n):
    if not isinstance(n, int) or n < 0: 
        return False
    r = int(str(n)[::-1])
    return n + 1 == 2 * r

assert check(70) == False",0.00149485,18.29940414428711,0,0,cand-gpt-5-mini,stage2_strongest_queried,
mbpp,Mbpp/413,TrustRoute-StrongestQueried,2,"def extract_nth_element(data, n):
    return [item[n] for item in data]

# test
assert extract_nth_element([('Greyson Fulton', 98, 99), ('Brady Kent', 97, 96), ('Wyatt Knott', 91, 94), ('Beau Turnbull', 94, 98)], 0) == ['Greyson Fulton', 'Brady Kent', 'Wyatt Knott', 'Beau Turnbull']",0.0010611499999999999,14.652790069580078,0,0,cand-gpt-5-mini,stage2_strongest_queried,
mbpp,Mbpp/70,TrustRoute-StrongestQueried,2,"def get_equal(tuples):
    return len({len(t) for t in tuples}) <= 1

# example
assert get_equal([(11, 22, 33), (44, 55, 66)]) == True",0.00113845,18.402073860168457,0,0,cand-gpt-5-mini,stage2_strongest_queried,
mbpp,Mbpp/424,TrustRoute-StrongestQueried,2,"def extract_rear(tup):
    return [s[-1] if s else '' for s in tup]

assert extract_rear(('Mers', 'for', 'Vers')) == ['s', 'r', 's']",0.0006985499999999999,11.81411361694336,0,0,cand-gpt-5-mini,stage2_strongest_queried,
mbpp,Mbpp/803,TrustRoute-StrongestQueried,2,"import math

def is_perfect_square(n):
    if not isinstance(n, int) or n < 0:
        return False
    s = math.isqrt(n)
    return s * s == n

assert not is_perfect_square(10)",0.0014139500000000002,27.45390510559082,0,0,cand-gpt-5-mini,stage2_strongest_queried,
mbpp,Mbpp/426,TrustRoute-StrongestQueried,2,"def filter_oddnumbers(lst):
    return [x for x in lst if x % 2 == 1]

assert filter_oddnumbers([1, 2, 3, 4, 5, 6, 7, 8, 9, 10]) == [1, 3, 5, 7, 9]",0.00108195,14.968318939208984,0,0,cand-gpt-5-mini,stage2_strongest_queried,
mbpp,Mbpp/126,TrustRoute-StrongestQueried,2,"```python
def sum_of_common_divisors(a, b):
    total_sum = 0
    # Common divisors cannot be greater than the minimum of the two numbers.
    # We iterate from 1 up to this minimum value (inclusive).
    for i in range(1, min(a, b) + 1):
        # If 'i' divides both 'a' and 'b' evenly, it's a common divisor.
        if a % i == 0 and b % i == 0:
            total_sum += i
    return total_sum
```",0.006385150000000001,38.00140309333801,0,0,cand-gemini-2.5-flash,stage2_strongest_queried,
mbpp,Mbpp/565,TrustRoute-StrongestQueried,2,"def split(s):
    """"""Return a list of characters from s.""""""
    return list(s)

assert split('python') == ['p','y','t','h','o','n']",0.0007680500000000002,14.409545183181763,0,0,cand-gpt-5-mini,stage2_strongest_queried,
mbpp,Mbpp/448,TrustRoute-StrongestQueried,2,"def cal_sum(n):
    if n < 0:
        return 0
    p0, p1, p2 = 3, 0, 2
    if n == 0:
        return p0
    if n == 1:
        return p0 + p1
    if n == 2:
        return p0 + p1 + p2
    total = p0 + p1 + p2
    for _ in range(3, n + 1):
        nxt = p0 + p1
        total += nxt
        p0, p1, p2 = p1, p2, nxt
    return total

assert cal_sum(9) == 49",0.00352105,60.14798426628113,0,0,cand-gpt-5-mini,stage2_strongest_queried,
mbpp,Mbpp/581,TrustRoute-StrongestQueried,2,"def surface_Area(base_edge, height):
    return base_edge**2 + 2*base_edge*height

assert surface_Area(3, 4) == 33",0.00232335,39.7994863986969,0,0,cand-gpt-5-mini,stage2_strongest_queried,
mbpp,Mbpp/573,TrustRoute-StrongestQueried,2,"import math

def unique_product(nums):
    """"""Return the product of unique numbers in nums.""""""
    return math.prod(set(nums))

assert unique_product([10, 20, 30, 40, 20, 50, 60, 40]) == 720000000",0.00128795,18.177133083343506,0,0,cand-gpt-5-mini,stage2_strongest_queried,
mbpp,Mbpp/616,TrustRoute-StrongestQueried,2,"```python
def tuple_modulo(t1, t2):
    return tuple(a % b for a, b in zip(t1, t2))
```",0.0010577,16.92562174797058,0,0,cand-gemini-2.5-flash,stage2_strongest_queried,
mbpp,Mbpp/310,TrustRoute-StrongestQueried,2,"```python
def string_to_tuple(s: str) -> tuple:
    return tuple(char for char in s if char != ' ')
```",0.00380665,13.268555402755737,0,0,cand-gemini-2.5-flash,stage2_strongest_queried,
mbpp,Mbpp/591,TrustRoute-StrongestQueried,2,"def swap_List(lst):
    if len(lst) < 2:
        return lst
    lst[0], lst[-1] = lst[-1], lst[0]
    return lst

assert swap_List([12, 35, 9, 56, 24]) == [24, 35, 9, 56, 12]",0.00155785,21.601546049118042,0,0,cand-gpt-5-mini,stage2_strongest_queried,
mbpp,Mbpp/635,TrustRoute-StrongestQueried,2,"def heap_sort(arr):
    a = arr[:]  # work on a copy
    n = len(a)
    def sift_down(i, m):
        while True:
            l = 2*i + 1
            r = l + 1
            largest = i
            if l < m and a[l] > a[largest]:
                largest = l
            if r < m and a[r] > a[largest]:
                largest = r
            if largest == i:
                break
            a[i], a[largest] = a[largest], a[i]
            i = largest
    for i in range(n//2 - 1, -1, -1):
        sift_down(i, n)
    for end in range(n - 1, 0, -1):
        a[0], a[end] = a[end], a[0]
        sift_down(0, end)
    return a

assert heap_sort([1, 3, 5, 7, 9, 2, 4, 6, 8, 0]) == [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.00229435,26.980616092681885,0,0,cand-gpt-5-mini,stage2_strongest_queried,
mbpp,Mbpp/430,TrustRoute-StrongestQueried,2,,0.00382775,48.01773405075073,0,0,cand-gpt-5-mini,stage2_strongest_queried,
mbpp,Mbpp/294,TrustRoute-StrongestQueried,2,"```python
def max_val(data_list):
    return max(x for x in data_list if isinstance(x, (int, float)))
```",0.00285145,14.975823879241943,0,0,cand-gemini-2.5-flash,stage2_strongest_queried,
mbpp,Mbpp/394,TrustRoute-StrongestQueried,2,"```python
def check_distinct(input_tuple):
  """"""
  Checks if the given tuple contains no duplicate elements.

  Args:
    input_tuple: The tuple to check.

  Returns:
    True if all elements in the tuple are distinct, False otherwise.
  """"""
  return len(input_tuple) == len(set(input_tuple))
```",0.000972,9.279329299926758,0,0,cand-gemini-2.5-flash,stage2_strongest_queried,
mbpp,Mbpp/3,TrustRoute-StrongestQueried,2,"def is_not_prime(n: int) -> bool:
    if n <= 1:
        return True
    if n <= 3:
        return False
    if n % 2 == 0 or n % 3 == 0:
        return True
    i = 5
    while i * i <= n:
        if n % i == 0 or n % (i + 2) == 0:
            return True
        i += 6
    return False

# quick check
assert is_not_prime(2) == False",0.0012036500000000001,13.372562408447266,0,0,cand-gpt-5-mini,stage2_strongest_queried,
